classifier,rep_no,precision,recall,fscore,TP,TN,FP,FN
DecisionTree,1,0.729859571322986,0.6214600377595972,0.6713120326308634,1975,2502,731,1203
DecisionTree,2,0.7380602498163116,0.6241068654861758,0.6763171183302474,2009,2479,713,1210
DecisionTree,3,0.7407825432656132,0.6155048452641451,0.6723578623868876,1969,2523,689,1230
DecisionTree,4,0.7403659011288439,0.5994327135203278,0.6624869383490074,1902,2571,667,1271
DecisionTree,5,0.7307543520309477,0.5974067046173308,0.6573864625021749,1889,2553,696,1273
DecisionTree,6,0.7335340609710199,0.6132787916928886,0.6680377035132818,1949,2525,708,1229
DecisionTree,7,0.7389162561576355,0.6109022556390977,0.6688389641570914,1950,2530,689,1242
DecisionTree,8,0.721592985020095,0.6255939182768451,0.6701730573464539,1975,2492,762,1182
DecisionTree,9,0.7542113323124043,0.6108527131782946,0.6750042830221004,1970,2544,642,1255
DecisionTree,10,0.7446728971962617,0.6234741784037559,0.6787052810902896,1992,2533,683,1203
DecisionTree,11,0.7397783721818877,0.6146031746031746,0.6714062770938097,1936,2580,681,1214
DecisionTree,12,0.7402307406029028,0.6175100900341509,0.6733243060257279,1989,2492,698,1232
DecisionTree,13,0.7548313755210307,0.6144355336212215,0.6774358102363544,1992,2522,647,1250
DecisionTree,14,0.7470014992503748,0.6141756548536209,0.67410789785219,1993,2491,675,1252
DecisionTree,15,0.7619227857683573,0.615032080659945,0.6806424344885883,2013,2509,629,1260
DecisionTree,16,0.7465626161278335,0.6198704103671706,0.6773432231962238,2009,2488,682,1232
DecisionTree,17,0.7473725184896847,0.5975723622782446,0.6641300588031823,1920,2549,649,1293
DecisionTree,18,0.746617915904936,0.6248470012239902,0.6803265034149591,2042,2450,693,1226
DecisionTree,19,0.7358418852147472,0.606516290726817,0.6649493388287824,1936,2524,695,1256
DecisionTree,20,0.732163296451736,0.6047904191616766,0.6624093890231273,1919,2536,702,1254
DecisionTree,21,0.7379182156133829,0.624803273528486,0.6766660985171297,1985,2529,705,1192
DecisionTree,22,0.7284515636918383,0.6076996500159084,0.6626192541196878,1910,2556,712,1233
DecisionTree,23,0.7260171705860395,0.6114429424709211,0.6638225255972696,1945,2496,734,1236
DecisionTree,24,0.7523291925465838,0.6044915782907049,0.6703562781044621,1938,2567,638,1268
DecisionTree,25,0.7324314167606163,0.6140516698172653,0.668037703513282,1949,2525,712,1225
DecisionTree,26,0.7465264739016148,0.6171996274448929,0.6757307953772944,1988,2515,675,1233
DecisionTree,27,0.7444101773323053,0.6041927409261577,0.6670120898100173,1931,2552,663,1265
DecisionTree,28,0.7386109036594474,0.6216216216216216,0.6750853242320819,1978,2529,700,1204
DecisionTree,29,0.7397939717665013,0.605748203686348,0.6660941257299897,1939,2528,682,1262
DecisionTree,30,0.7368220015278839,0.6141356255969437,0.6699079701337037,1929,2581,689,1212
